a = 1, c = 3, m = 11
a = 1, c = 5, m = 11
a = 1, c = 7, m = 11
a = 1, c = 9, m = 11
a = 7, c = 9, m = 11
a = 1, c = 3, m = 13
a = 1, c = 5, m = 13
a = 1, c = 7, m = 13
a = 1, c = 9, m = 13
a = 7, c = 9, m = 13
a = 1, c = 3, m = 17
a = 1, c = 5, m = 17
a = 1, c = 7, m = 17
a = 1, c = 9, m = 17
a = 7, c = 9, m = 17
a = 1, c = 3, m = 19
a = 1, c = 5, m = 19
a = 1, c = 7, m = 19
a = 1, c = 9, m = 19
a = 1, c = 3, m = 23
a = 1, c = 5, m = 23
a = 1, c = 7, m = 23
a = 1, c = 9, m = 23
a = 7, c = 9, m = 23
a = 1, c = 3, m = 29
a = 1, c = 5, m = 29
a = 1, c = 7, m = 29
a = 1, c = 9, m = 29
a = 1, c = 3, m = 31
a = 1, c = 5, m = 31
a = 1, c = 7, m = 31
a = 1, c = 9, m = 31
a = 1, c = 3, m = 37
a = 1, c = 5, m = 37
a = 1, c = 7, m = 37
a = 1, c = 9, m = 37
a = 1, c = 3, m = 41
a = 1, c = 5, m = 41
a = 1, c = 7, m = 41
a = 1, c = 9, m = 41
a = 7, c = 9, m = 41
a = 1, c = 3, m = 43
a = 1, c = 5, m = 43
a = 1, c = 7, m = 43
a = 1, c = 9, m = 43
a = 1, c = 3, m = 47
a = 1, c = 5, m = 47
a = 1, c = 7, m = 47
a = 1, c = 9, m = 47
a = 1, c = 3, m = 53
a = 1, c = 5, m = 53
a = 1, c = 7, m = 53
a = 1, c = 9, m = 53
a = 1, c = 3, m = 59
a = 1, c = 5, m = 59
a = 1, c = 7, m = 59
a = 1, c = 9, m = 59
a = 1, c = 3, m = 61
a = 1, c = 5, m = 61
a = 1, c = 7, m = 61
a = 1, c = 9, m = 61
a = 7, c = 9, m = 61
a = 1, c = 3, m = 67
a = 1, c = 5, m = 67
a = 1, c = 7, m = 67
a = 1, c = 9, m = 67
a = 7, c = 9, m = 67
a = 1, c = 3, m = 71
a = 1, c = 5, m = 71
a = 1, c = 7, m = 71
a = 1, c = 9, m = 71
a = 7, c = 9, m = 71
a = 1, c = 3, m = 73
a = 1, c = 5, m = 73
a = 1, c = 7, m = 73
a = 1, c = 9, m = 73
a = 1, c = 3, m = 79
a = 1, c = 5, m = 79
a = 1, c = 7, m = 79
a = 1, c = 9, m = 79
a = 7, c = 9, m = 79
a = 1, c = 3, m = 83
a = 1, c = 5, m = 83
a = 1, c = 7, m = 83
a = 1, c = 9, m = 83
a = 1, c = 3, m = 89
a = 1, c = 5, m = 89
a = 1, c = 7, m = 89
a = 1, c = 9, m = 89
a = 7, c = 9, m = 89
a = 1, c = 3, m = 97
a = 1, c = 5, m = 97
a = 1, c = 7, m = 97
a = 1, c = 9, m = 97
a = 7, c = 9, m = 97
a = 1, c = 3, m = 101
a = 1, c = 5, m = 101
a = 1, c = 7, m = 101
a = 1, c = 9, m = 101
a = 7, c = 9, m = 101
a = 1, c = 3, m = 103
a = 1, c = 5, m = 103
a = 1, c = 7, m = 103
a = 1, c = 9, m = 103
a = 1, c = 3, m = 107
a = 1, c = 5, m = 107
a = 1, c = 7, m = 107
a = 1, c = 9, m = 107
a = 7, c = 9, m = 107
a = 1, c = 3, m = 109
a = 1, c = 5, m = 109
a = 1, c = 7, m = 109
a = 1, c = 9, m = 109
a = 1, c = 3, m = 113
a = 1, c = 5, m = 113
a = 1, c = 7, m = 113
a = 1, c = 9, m = 113
a = 1, c = 3, m = 127
a = 1, c = 5, m = 127
a = 1, c = 7, m = 127
a = 1, c = 9, m = 127
a = 7, c = 9, m = 127
a = 1, c = 3, m = 131
a = 1, c = 5, m = 131
a = 1, c = 7, m = 131
a = 1, c = 9, m = 131
a = 1, c = 3, m = 137
a = 1, c = 5, m = 137
a = 1, c = 7, m = 137
a = 1, c = 9, m = 137
a = 1, c = 3, m = 139
a = 1, c = 5, m = 139
a = 1, c = 7, m = 139
a = 1, c = 9, m = 139
a = 1, c = 3, m = 149
a = 1, c = 5, m = 149
a = 1, c = 7, m = 149
a = 1, c = 9, m = 149
a = 1, c = 3, m = 151
a = 1, c = 5, m = 151
a = 1, c = 7, m = 151
a = 1, c = 9, m = 151
a = 7, c = 9, m = 151
a = 1, c = 3, m = 157
a = 1, c = 5, m = 157
a = 1, c = 7, m = 157
a = 1, c = 9, m = 157
a = 1, c = 3, m = 163
a = 1, c = 5, m = 163
a = 1, c = 7, m = 163
a = 1, c = 9, m = 163
a = 7, c = 9, m = 163
a = 1, c = 3, m = 167
a = 1, c = 5, m = 167
a = 1, c = 7, m = 167
a = 1, c = 9, m = 167
a = 1, c = 3, m = 173
a = 1, c = 5, m = 173
a = 1, c = 7, m = 173
a = 1, c = 9, m = 173
a = 7, c = 9, m = 173
a = 1, c = 3, m = 179
a = 1, c = 5, m = 179
a = 1, c = 7, m = 179
a = 1, c = 9, m = 179
a = 7, c = 9, m = 179
a = 1, c = 3, m = 181
a = 1, c = 5, m = 181
a = 1, c = 7, m = 181
a = 1, c = 9, m = 181
a = 1, c = 3, m = 191
a = 1, c = 5, m = 191
a = 1, c = 7, m = 191
a = 1, c = 9, m = 191
a = 1, c = 3, m = 193
a = 1, c = 5, m = 193
a = 1, c = 7, m = 193
a = 1, c = 9, m = 193
a = 1, c = 3, m = 197
a = 1, c = 5, m = 197
a = 1, c = 7, m = 197
a = 1, c = 9, m = 197
a = 1, c = 3, m = 199
a = 1, c = 5, m = 199
a = 1, c = 7, m = 199
a = 1, c = 9, m = 199
a = 1, c = 3, m = 211
a = 1, c = 5, m = 211
a = 1, c = 7, m = 211
a = 1, c = 9, m = 211
a = 7, c = 9, m = 211
a = 1, c = 3, m = 223
a = 1, c = 5, m = 223
a = 1, c = 7, m = 223
a = 1, c = 9, m = 223
a = 1, c = 3, m = 227
a = 1, c = 5, m = 227
a = 1, c = 7, m = 227
a = 1, c = 9, m = 227
a = 1, c = 3, m = 229
a = 1, c = 5, m = 229
a = 1, c = 7, m = 229
a = 1, c = 9, m = 229
a = 7, c = 9, m = 229
a = 1, c = 3, m = 233
a = 1, c = 5, m = 233
a = 1, c = 7, m = 233
a = 1, c = 9, m = 233
a = 1, c = 3, m = 239
a = 1, c = 5, m = 239
a = 1, c = 7, m = 239
a = 1, c = 9, m = 239
a = 7, c = 9, m = 239
a = 1, c = 3, m = 241
a = 1, c = 5, m = 241
a = 1, c = 7, m = 241
a = 1, c = 9, m = 241
a = 7, c = 9, m = 241
a = 1, c = 3, m = 251
a = 1, c = 5, m = 251
a = 1, c = 7, m = 251
a = 1, c = 9, m = 251
a = 1, c = 3, m = 257
a = 1, c = 5, m = 257
a = 1, c = 7, m = 257
a = 1, c = 9, m = 257
a = 7, c = 9, m = 257
a = 1, c = 3, m = 263
a = 1, c = 5, m = 263
a = 1, c = 7, m = 263
a = 1, c = 9, m = 263
a = 7, c = 9, m = 263
a = 1, c = 3, m = 269
a = 1, c = 5, m = 269
a = 1, c = 7, m = 269
a = 1, c = 9, m = 269
a = 7, c = 9, m = 269
a = 1, c = 3, m = 271
a = 1, c = 5, m = 271
a = 1, c = 7, m = 271
a = 1, c = 9, m = 271
a = 1, c = 3, m = 277
a = 1, c = 5, m = 277
a = 1, c = 7, m = 277
a = 1, c = 9, m = 277
a = 1, c = 3, m = 281
a = 1, c = 5, m = 281
a = 1, c = 7, m = 281
a = 1, c = 9, m = 281
a = 1, c = 3, m = 283
a = 1, c = 5, m = 283
a = 1, c = 7, m = 283
a = 1, c = 9, m = 283
a = 1, c = 3, m = 293
a = 1, c = 5, m = 293
a = 1, c = 7, m = 293
a = 1, c = 9, m = 293
a = 7, c = 9, m = 293
a = 1, c = 3, m = 307
a = 1, c = 5, m = 307
a = 1, c = 7, m = 307
a = 1, c = 9, m = 307
a = 1, c = 3, m = 311
a = 1, c = 5, m = 311
a = 1, c = 7, m = 311
a = 1, c = 9, m = 311
a = 1, c = 3, m = 313
a = 1, c = 5, m = 313
a = 1, c = 7, m = 313
a = 1, c = 9, m = 313
a = 1, c = 3, m = 317
a = 1, c = 5, m = 317
a = 1, c = 7, m = 317
a = 1, c = 9, m = 317
a = 1, c = 3, m = 331
a = 1, c = 5, m = 331
a = 1, c = 7, m = 331
a = 1, c = 9, m = 331
a = 1, c = 3, m = 337
a = 1, c = 5, m = 337
a = 1, c = 7, m = 337
a = 1, c = 9, m = 337
a = 1, c = 3, m = 347
a = 1, c = 5, m = 347
a = 1, c = 7, m = 347
a = 1, c = 9, m = 347
a = 7, c = 9, m = 347
a = 1, c = 3, m = 349
a = 1, c = 5, m = 349
a = 1, c = 7, m = 349
a = 1, c = 9, m = 349
a = 7, c = 9, m = 349
a = 1, c = 3, m = 353
a = 1, c = 5, m = 353
a = 1, c = 7, m = 353
a = 1, c = 9, m = 353
a = 1, c = 3, m = 359
a = 1, c = 5, m = 359
a = 1, c = 7, m = 359
a = 1, c = 9, m = 359
a = 7, c = 9, m = 359
a = 1, c = 3, m = 367
a = 1, c = 5, m = 367
a = 1, c = 7, m = 367
a = 1, c = 9, m = 367
a = 1, c = 3, m = 373
a = 1, c = 5, m = 373
a = 1, c = 7, m = 373
a = 1, c = 9, m = 373
a = 1, c = 3, m = 379
a = 1, c = 5, m = 379
a = 1, c = 7, m = 379
a = 1, c = 9, m = 379
a = 7, c = 9, m = 379
a = 1, c = 3, m = 383
a = 1, c = 5, m = 383
a = 1, c = 7, m = 383
a = 1, c = 9, m = 383
a = 1, c = 3, m = 389
a = 1, c = 5, m = 389
a = 1, c = 7, m = 389
a = 1, c = 9, m = 389
a = 1, c = 3, m = 397
a = 1, c = 5, m = 397
a = 1, c = 7, m = 397
a = 1, c = 9, m = 397
a = 7, c = 9, m = 397
a = 1, c = 3, m = 401
a = 1, c = 5, m = 401
a = 1, c = 7, m = 401
a = 1, c = 9, m = 401
a = 1, c = 3, m = 409
a = 1, c = 5, m = 409
a = 1, c = 7, m = 409
a = 1, c = 9, m = 409
a = 1, c = 3, m = 419
a = 1, c = 5, m = 419
a = 1, c = 7, m = 419
a = 1, c = 9, m = 419
a = 1, c = 3, m = 421
a = 1, c = 5, m = 421
a = 1, c = 7, m = 421
a = 1, c = 9, m = 421
a = 1, c = 3, m = 431
a = 1, c = 5, m = 431
a = 1, c = 7, m = 431
a = 1, c = 9, m = 431
a = 7, c = 9, m = 431
a = 1, c = 3, m = 433
a = 1, c = 5, m = 433
a = 1, c = 7, m = 433
a = 1, c = 9, m = 433
a = 7, c = 9, m = 433
a = 1, c = 3, m = 439
a = 1, c = 5, m = 439
a = 1, c = 7, m = 439
a = 1, c = 9, m = 439
a = 1, c = 3, m = 443
a = 1, c = 5, m = 443
a = 1, c = 7, m = 443
a = 1, c = 9, m = 443
a = 7, c = 9, m = 443
a = 1, c = 3, m = 449
a = 1, c = 5, m = 449
a = 1, c = 7, m = 449
a = 1, c = 9, m = 449
a = 1, c = 3, m = 457
a = 1, c = 5, m = 457
a = 1, c = 7, m = 457
a = 1, c = 9, m = 457
a = 1, c = 3, m = 461
a = 1, c = 5, m = 461
a = 1, c = 7, m = 461
a = 1, c = 9, m = 461
a = 7, c = 9, m = 461
a = 1, c = 3, m = 463
a = 1, c = 5, m = 463
a = 1, c = 7, m = 463
a = 1, c = 9, m = 463
a = 1, c = 3, m = 467
a = 1, c = 5, m = 467
a = 1, c = 7, m = 467
a = 1, c = 9, m = 467
a = 1, c = 3, m = 479
a = 1, c = 5, m = 479
a = 1, c = 7, m = 479
a = 1, c = 9, m = 479
a = 1, c = 3, m = 487
a = 1, c = 5, m = 487
a = 1, c = 7, m = 487
a = 1, c = 9, m = 487
a = 1, c = 3, m = 491
a = 1, c = 5, m = 491
a = 1, c = 7, m = 491
a = 1, c = 9, m = 491
a = 7, c = 9, m = 491
a = 1, c = 3, m = 499
a = 1, c = 5, m = 499
a = 1, c = 7, m = 499
a = 1, c = 9, m = 499
a = 7, c = 9, m = 499
a = 1, c = 3, m = 503
a = 1, c = 5, m = 503
a = 1, c = 7, m = 503
a = 1, c = 9, m = 503
a = 1, c = 3, m = 509
a = 1, c = 5, m = 509
a = 1, c = 7, m = 509
a = 1, c = 9, m = 509
a = 7, c = 9, m = 509
a = 1, c = 3, m = 521
a = 1, c = 5, m = 521
a = 1, c = 7, m = 521
a = 1, c = 9, m = 521
a = 7, c = 9, m = 521
a = 1, c = 3, m = 523
a = 1, c = 5, m = 523
a = 1, c = 7, m = 523
a = 1, c = 9, m = 523
a = 1, c = 3, m = 541
a = 1, c = 5, m = 541
a = 1, c = 7, m = 541
a = 1, c = 9, m = 541
a = 1, c = 3, m = 547
a = 1, c = 5, m = 547
a = 1, c = 7, m = 547
a = 1, c = 9, m = 547
a = 7, c = 9, m = 547
a = 1, c = 3, m = 557
a = 1, c = 5, m = 557
a = 1, c = 7, m = 557
a = 1, c = 9, m = 557
a = 1, c = 3, m = 563
a = 1, c = 5, m = 563
a = 1, c = 7, m = 563
a = 1, c = 9, m = 563
a = 1, c = 3, m = 569
a = 1, c = 5, m = 569
a = 1, c = 7, m = 569
a = 1, c = 9, m = 569
a = 1, c = 3, m = 571
a = 1, c = 5, m = 571
a = 1, c = 7, m = 571
a = 1, c = 9, m = 571
a = 1, c = 3, m = 577
a = 1, c = 5, m = 577
a = 1, c = 7, m = 577
a = 1, c = 9, m = 577
a = 7, c = 9, m = 577
a = 1, c = 3, m = 587
a = 1, c = 5, m = 587
a = 1, c = 7, m = 587
a = 1, c = 9, m = 587
a = 1, c = 3, m = 593
a = 1, c = 5, m = 593
a = 1, c = 7, m = 593
a = 1, c = 9, m = 593
a = 7, c = 9, m = 593
a = 1, c = 3, m = 599
a = 1, c = 5, m = 599
a = 1, c = 7, m = 599
a = 1, c = 9, m = 599
a = 7, c = 9, m = 599
a = 1, c = 3, m = 601
a = 1, c = 5, m = 601
